City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Sao Joao Da Barra,BR,11/28/21 1:02,-21.6403,-41.0511,73.53,83,30,7.58
148,Saldanha,ZA,11/28/21 1:02,-33.0117,17.9442,62.6,95,96,13.49
149,Portland,US,11/28/21 1:01,45.5234,-122.6762,61.38,88,90,0
150,Abu Dhabi,AE,11/28/21 1:00,24.4667,54.3667,79.27,73,1,12.73
151,Barinas,VE,11/28/21 1:02,8.6226,-70.2075,75.27,84,21,3.47
152,Gotsu,JP,11/28/21 1:02,35,132.2167,51.93,51,3,6.67
153,Moussoro,TD,11/28/21 1:02,13.6408,16.4901,74.46,15,11,10.18
154,Ulladulla,AU,11/28/21 1:02,-35.35,150.4667,62.02,68,98,10.67
155,Aitape,PG,11/28/21 1:02,-3.1374,142.3475,85.08,67,91,1.79
156,Waingapu,ID,11/28/21 1:02,-9.6567,120.2641,81.03,81,100,3.51
157,Bowen,AU,11/28/21 1:02,-20.0167,148.2333,83.16,68,72,9.84
158,Honiara,SB,11/28/21 1:02,-9.4333,159.95,86.31,69,98,5.37
159,Yelandur,IN,11/28/21 1:02,12.0667,77.0333,68.61,95,100,4.81
160,Nisia Floresta,BR,11/28/21 1:02,-6.0911,-35.2086,77.86,77,23,7.9
161,Albury,AU,11/28/21 1:02,-36.0833,146.9167,69.89,43,0,0.58
162,Tilichiki,RU,11/28/21 1:02,60.4667,166.1,22.57,89,100,9.86
163,Port Moresby,PG,11/28/21 1:02,-9.4431,147.1797,85.32,64,32,5.23
164,Benjamin Aceval,PY,11/28/21 1:02,-24.9667,-57.5667,71.74,61,3,5.84
165,Plettenberg Bay,ZA,11/28/21 1:02,-34.0527,23.3716,62.62,71,36,4.43
166,Ormond Beach,US,11/28/21 1:02,29.2858,-81.0559,57.34,71,1,0
167,Mastic Beach,US,11/28/21 1:02,40.7668,-72.8521,35.8,48,1,10.36
168,Bac Lieu,VN,11/28/21 1:02,9.285,105.7244,73.89,92,100,10.47
169,High Level,CA,11/28/21 1:02,58.5169,-117.136,15.31,89,100,6.33
170,Kodiak,US,11/28/21 1:02,57.79,-152.4072,17.11,62,20,11.5
171,Luvianos,MX,11/28/21 1:02,18.9167,-100.4,62.96,63,0,3.36
172,Yuanping,CN,11/28/21 1:02,38.7153,112.7575,36.25,62,6,0.34
173,Pingliang,CN,11/28/21 1:02,35.5392,106.6861,38.14,83,8,0.67
174,Grindavik,IS,11/28/21 1:02,63.8424,-22.4338,36.07,100,75,1.14
175,Penzance,GB,11/28/21 1:02,50.1186,-5.5371,40.21,59,100,30.02
176,Erzin,TR,11/28/21 1:00,36.9559,36.2,55.92,62,100,4.05
177,Pangnirtung,CA,11/28/21 1:02,66.1451,-65.7125,16.48,77,100,7.27
178,Cabo San Lucas,MX,11/28/21 1:02,22.8909,-109.9124,72.7,88,90,3.44
179,Svetlogorsk,BY,11/28/21 1:03,52.6333,29.7333,34.11,84,54,6.31
180,Susangerd,IR,11/28/21 1:03,31.5608,48.1831,63.81,42,100,11.43
181,Volkhov,RU,11/28/21 1:03,59.9258,32.3382,25.21,91,100,11.74
182,Altay,CN,11/28/21 1:03,47.8667,88.1167,5.22,59,12,6.49
183,Chokurdakh,RU,11/28/21 1:04,70.6333,147.9167,-31.68,99,100,0.58
184,Ostrovnoy,RU,11/28/21 1:04,68.0531,39.5131,9.37,88,89,8.61
185,Takestan,IR,11/28/21 1:04,36.0696,49.6959,44.55,52,60,2.17
186,Amapa,BR,11/28/21 1:04,1,-52,72.09,98,7,2.51
187,Kaoma,ZM,11/28/21 1:02,-14.7833,24.8,62.67,90,50,4.85
188,Chuy,UY,11/28/21 1:04,-33.6971,-53.4616,67.03,86,100,8.81
189,Kasungu,MW,11/28/21 1:04,-13.0333,33.4833,63.81,77,14,2.51
190,Messina,IT,11/28/21 1:01,38.1933,15.5497,54.95,62,8,9.22
191,Mao,ES,11/28/21 1:04,39.8885,4.2658,45.16,93,75,6.91
192,Antequera,ES,11/28/21 1:04,37.0194,-4.5612,42.3,72,0,8.34
193,Garowe,SO,11/28/21 1:04,8.4054,48.4845,72.66,79,5,7.76
194,Novobiryusinskiy,RU,11/28/21 1:04,56.9578,97.7076,20.23,95,100,8.28
195,Nurota,UZ,11/28/21 1:04,40.5614,65.6886,33.89,64,100,2.24
196,Hermanus,ZA,11/28/21 0:59,-34.4187,19.2345,64.56,83,96,16.8
197,Oxford,GB,11/28/21 1:02,51.7522,-1.256,33.75,75,17,17.45
198,Sainte-Suzanne,RE,11/28/21 1:04,-20.9061,55.6089,77.22,78,90,5.75
199,Codrington,AU,11/28/21 1:00,-38.2667,141.9667,65.59,52,0,9.73
200,Salym,RU,11/28/21 1:04,60.0625,71.4789,27.21,89,99,12.35
201,Chaihe,CN,11/28/21 1:04,44.7667,129.7,19.09,79,6,4.9
202,Hasaki,JP,11/28/21 1:02,35.7333,140.8333,48.6,47,1,14.32
203,Mahibadhoo,MV,11/28/21 1:04,3.7833,72.9667,81.63,73,100,16.89
204,Takab,IR,11/28/21 1:04,36.4009,47.1133,38.41,61,100,1.39
205,Bredasdorp,ZA,11/28/21 1:04,-34.5322,20.0403,64.98,72,42,14.85
206,Namibe,AO,11/28/21 0:59,-15.1961,12.1522,67.73,74,100,6.62
207,Neiafu,TO,11/28/21 1:04,-18.65,-173.9833,86.68,70,20,10.36
208,Lebu,CL,11/28/21 1:04,-37.6167,-73.65,52.57,78,0,17.31
209,Tacuati,PY,11/28/21 1:04,-23.45,-56.5833,73.71,52,0,4.25
210,Shirvan,AZ,11/28/21 1:04,39.9509,48.8994,46.2,75,100,2.42
211,Kudahuvadhoo,MV,11/28/21 1:04,2.6708,72.8944,81.37,71,99,17.07
212,Tuktoyaktuk,CA,11/28/21 1:04,69.4541,-133.0374,-6.09,96,100,16.82
213,Paamiut,GL,11/28/21 1:04,61.994,-49.6678,37.49,99,100,12.24
